muon phi, muon eta, electron pt, electron phi, electron eta, jet 1 pt, jet 1 phi, jet 1 eta, jet 2 pt, jet 2 phi, jet 2 eta, gen muon pt
muon phi, muon eta, electron pt, electron phi, electron eta, jet 1 pt, jet 1 phi, jet 1 eta, jet 2 pt, jet 2 phi, jet 2 eta, gen muon pt
 -1.95452, -0.138222, 30.2092, -1.62897, 0.839645, 51.643, -0.568776, 0.950697, 12.4957, 2.14458, 2.0114, 23.6466
 -2.45761, 0.653712, 137.082, -1.83657, 0.824982, 289.162, 1.10006, 2.12004, 10.1509, -2.59445, 1.30949, 38.4034
 2.79951, -0.68283, 83.0968, 1.07459, -0.120175, 70.0077, -0.980034, -1.03082, 10.1149, -0.252913, 2.7783, 60.9116
 1.4886, 2.33048, 29.6854, 2.46383, 1.57866, 112.205, -1.11512, 1.46952, 11.5798, -1.00034, -2.68504, 21.9471
 2.74876, -0.454558, 152.979, -0.212013, 0.809487, 34.7371, -1.84624, -0.00751978, 10.5247, 1.27682, -0.885419, 156.704
 1.89352, -1.22737, 97.587, 1.20715, -0.0939715, 165.5, -1.51825, 0.296678, 10.0539, -1.72537, 1.30916, 54.3323
 0.450529, 0.942707, 37.5842, 1.37633, -0.433326, 62.1707, -0.812797, -1.70168, 10.8566, -1.34592, 2.63124, -1000
 2.56142, -0.737725, 39.2644, -0.267541, -1.15193, 53.6189, -2.24708, -1.43146, 10.3418, 1.2794, -2.57835, -1000
 -2.19544, 2.13278, 62.8103, 2.89168, 0.487828, 98.0753, -1.89741, 0.885596, 10.4719, 3.08442, 1.99345, -1000
 1.7869, -0.0333136, 62.8754, -1.17795, -0.0589493, 119.315, -0.773582, -1.0373, 10.0868, -1.74043, 1.19411, 38.347
 1.34909, -0.098839, 123.785, -2.63054, 0.550156, 59.5876, -0.773637, 0.586114, 10.7408, -2.59638, -0.28696, -1000
 0.113302, 1.6748, 51.5112, 2.99924, -0.709432, 93.9034, -0.280976, 0.688357, 10.9228, 2.76416, -0.0861315, 168.292
 0.132845, -0.962779, 44.1384, 1.51314, 1.26403, 118.63, -2.82072, -1.04969, 10.2352, -2.26565, -1.04517, -1000
 -0.573246, 1.8636, 44.2822, 1.44601, 0.354979, 195.455, 2.15083, 0.422884, 10.1106, -2.3976, 0.257183, 303.559
 -2.82138, 0.4135, 62.1042, 1.9251, -0.584759, 74.3148, -1.18265, -0.0852784, 10.2887, 0.965855, 2.71285, 31.472
 -2.12997, 2.29924, 44.2324, -1.49979, 0.221116, 86.1822, -0.491437, 1.4487, 10.4824, -0.87543, -0.267123, 79.3217
 -1.96034, -1.17949, 62.4895, 2.26659, 0.0562654, 158.314, 1.38512, 0.565815, 10.7142, -0.964939, 0.141504, 111.022
 1.9438, -1.59923, 32.6334, 0.44727, -1.56261, 264.488, -1.2115, -1.83255, 12.0543, 0.296004, -0.998774, -1000
 2.62134, 2.00706, 145.691, -1.13178, 2.02194, 96.457, 1.05837, -0.157168, 10.357, 0.503678, 2.42917, 92.9573
 0.48468, 1.3044, 43.6085, 2.90084, -2.43814, 193.898, -3.13308, -1.70554, 11.2084, 0.966367, 0.433831, 99.0902
 -0.360147, 0.217927, 55.279, -1.36136, 0.730028, 133.446, 2.02099, -1.89024, 11.4989, 2.47099, 2.64086, 85.8125
 -0.283021, 0.357418, 81.6292, -1.90581, -0.750475, 86.7606, 1.49196, 1.58255, 10.8303, -1.40781, 0.505833, 18.6654
 0.492415, 1.01418, 50.1435, -2.9191, 0.897986, 207.435, 1.86988, -1.54614, 14.2209, 1.78599, 1.27857, 62.5023
 -0.717414, -0.317304, 68.065, -2.26943, 0.914053, 40.7069, -2.0142, -0.0813706, 10.7444, -0.972151, -2.89941, 17.2778
